lemma,pos,gender,plural,derived_verbs,derived_adj,gloss,etym_lang,source,notes,ipa_raw_lemma,ipa_raw_pl
abandon,N,NEUT,,,,abandonment,,https://ro.wiktionary.org/wiki/abandon,needs plural confirmation,abanˈdon,
abandonabil,ADJ,,,,,abandonable,,https://en.wiktionary.org/wiki/abandonabil,,abandoˈnabil,
abandonare,N,FEM,abandonări,,,the act or result of abandoning,,https://ro.wiktionary.org/wiki/abandonare,,abandoˈnare,
abandonat,ADJ,,,,,abandoned,,https://ro.wiktionary.org/wiki/abandonat,,abandoˈnat,
abanos,N,MASC,abanoși,,,the hard dark wood of the ebony .,fa,https://ro.wiktionary.org/wiki/abanos,,abaˈnos,
abataj,N,NEUT,abataje,,,a process of separating mineral ores from rock,,https://ro.wiktionary.org/wiki/abataj,,abaˈtaʒ,
abatere,N,FEM,abateri,,,deviation,,https://ro.wiktionary.org/wiki/abatere,,aˈbatere,
abatesă,N,FEM,abatese,,,abbess,,https://ro.wiktionary.org/wiki/abates%C4%83,,abaˈtesə,
abatiză,N,FEM,abatize,,,abatis,,https://ro.wiktionary.org/wiki/abatiz%C4%83,,abaˈtizə,
abator,N,NEUT,abatoare,,,abattoir,fr,https://ro.wiktionary.org/wiki/abator,,abaˈtor,
abaxial,ADJ,,,,,,,https://ro.wiktionary.org/wiki/abaxial,,abaksiˈal,
abazie,N,FEM,abazii,,,abasia,,https://ro.wiktionary.org/wiki/abazie,,abaˈzi.e,
abație,N,FEM,abații,,,abbey,la,https://ro.wiktionary.org/wiki/aba%C8%9Bie,,abaˈt͡si.e,
abces,N,NEUT,abcese,,,abscess,,https://ro.wiktionary.org/wiki/abces,,abˈt͡ʃes,
abdicare,N,FEM,abdicări,,,abdication,,https://ro.wiktionary.org/wiki/abdicare,,abdiˈkare,
abdicație,N,FEM,abdicații,,,.,,https://en.wiktionary.org/wiki/abdica%C8%9Bie,,abdiˈkat͡si.e,
abdicațiune,N,FEM,abdicațiuni,,,abdication,,https://en.wiktionary.org/wiki/abdica%C8%9Biune,,abdikat͡siˈune,
abdomen,N,NEUT,abdomene,,,belly,,https://ro.wiktionary.org/wiki/abdomen,,abdoˈmen,
abdominal,ADJ,,,,,,,https://ro.wiktionary.org/wiki/abdominal,,abdomiˈnal,
abdominalgie,N,FEM,abdominalgii,,,abdominalgia,,https://en.wiktionary.org/wiki/abdominalgie,,abdominalˈd͡ʒi.e,
abdominocenteză,N,FEM,abdominocenteze,,,abdominocentesis,,https://en.wiktionary.org/wiki/abdominocentez%C4%83,,abdominot͡ʃenˈtezə,
abdominohisterectomie,N,FEM,abdominohisterectomii,,,abdominohysterectomy,,https://en.wiktionary.org/wiki/abdominohisterectomie,,abdominohisterektoˈmi.e,
abductor,ADJ,,,,,abductive,,https://ro.wiktionary.org/wiki/abductor,,abdukˈtor,
abducție,N,FEM,abducție,,,abduction,,https://ro.wiktionary.org/wiki/abduc%C8%9Bie,,abˈdukt͡si.e,
abducțiune,N,FEM,abducțiuni,,,,,https://en.wiktionary.org/wiki/abduc%C8%9Biune,,abdukt͡siˈune,
abecedar,N,NEUT,abecedare,,,primer,,https://ro.wiktionary.org/wiki/abecedar,,abet͡ʃeˈdar,
aberant,ADJ,,,,,aberrant,la,https://ro.wiktionary.org/wiki/aberant,,a.beˈrant,
aberanță,N,FEM,aberanțe,,,aberrance,,https://en.wiktionary.org/wiki/aberan%C8%9B%C4%83,,abeˈran.t͡sə,
aberativ,ADJ,,,,,untrue,,https://ro.wiktionary.org/wiki/aberativ,,aberaˈtiv,
aberație,N,FEM,aberații,,,aberration,,https://ro.wiktionary.org/wiki/abera%C8%9Bie,,abeˈrat͡si.e,
aberațiune,N,FEM,aberațiuni,,,,,https://en.wiktionary.org/wiki/abera%C8%9Biune,,aberat͡siˈune,
aberoscop,N,NEUT,aberoscoape,,,aberrometer; an instrument used to observe aberration of the eye,,https://ro.wiktionary.org/wiki/aberoscop,,aberosˈkop,
abietacee,N,FEM,abietacee,,,,,https://ro.wiktionary.org/wiki/abietacee,,abi.etaˈt͡ʃe.e,
abietinee,N,FEM,abietinee,,,,,https://ro.wiktionary.org/wiki/abietinee,,abi.etiˈne.e,
abil,ADJ,,,,,able,la,https://ro.wiktionary.org/wiki/abil,,aˈbil,
abilitare,N,FEM,abilitări,,,habilitation,,https://ro.wiktionary.org/wiki/abilitare,,abiliˈtare,
abilitate,N,FEM,abilități,,,ability,la,https://ro.wiktionary.org/wiki/abilitate,,abiliˈtate,
abiogen,ADJ,,,,,abiogenic,,https://en.wiktionary.org/wiki/abiogen,,abi.oˈd͡ʒen,
abiogeneză,N,FEM,,,,abiogenesis,,https://ro.wiktionary.org/wiki/abiogenez%C4%83,needs plural confirmation,abi.od͡ʒeˈnezə,
abiologie,N,FEM,,,,abiology,,https://ro.wiktionary.org/wiki/abiologie,needs plural confirmation,abi.oloˈd͡ʒi.e,
abiotic,ADJ,,,,,,,https://ro.wiktionary.org/wiki/abiotic,,abiˈotik,
abiotrofic,ADJ,,,,,abiotrophic,,https://en.wiktionary.org/wiki/abiotrofic,,abi.oˈtrofik,
abiotrofie,N,FEM,abiotrofii,,,abiotrophy,,https://ro.wiktionary.org/wiki/abiotrofie,,abi.otroˈfi.e,
abioză,N,FEM,abioze,,,abiosis,,https://ro.wiktionary.org/wiki/abioz%C4%83,,abiˈozə,
abis,N,NEUT,abisuri,,,abyss,,https://ro.wiktionary.org/wiki/abis,,aˈbis,
abisal,ADJ,,,,,abyssal,,https://ro.wiktionary.org/wiki/abisal,,abiˈsal,
abisinian,N,MASC,abisinieni,,,Abyssinian#Noun|Abyssinian,,https://en.wiktionary.org/wiki/abisinian,,a.bi.si.niˈan,
abisiniană,N,FEM,abisiniene,,,,,https://en.wiktionary.org/wiki/abisinian%C4%83,,,
abitație,N,FEM,,,,habitation rights,fr,https://ro.wiktionary.org/wiki/abita%C8%9Bie,needs plural confirmation,a.biˈta.t͡si.e,
abitațiune,N,FEM,,,,,,https://en.wiktionary.org/wiki/abita%C8%9Biune,needs plural confirmation,a.bi.ta.t͡siˈu.ne,
abject,ADJ,,,,,,la,https://ro.wiktionary.org/wiki/abject,,abˈʒekt,
abjecție,N,FEM,abjecții,,,abjection,,https://ro.wiktionary.org/wiki/abjec%C8%9Bie,,ab'ʒek.ʦi.e | fr:abjection | pt:abjeção,
abjudecare,N,FEM,abjudecări,,,abjudication,,https://ro.wiktionary.org/wiki/abjudecare,,ab.ʒu.de'ka.re,
abjurare,N,FEM,abjurări,,,abjuration,,https://ro.wiktionary.org/wiki/abjurare,,ab.ʒu'ra.re | fr:abjuration | tr:feragat,
abjurat,ADJ,,,,,abjured,,https://en.wiktionary.org/wiki/abjurat,,,
abjurător,ADJ,,,,,abjuratory,,https://en.wiktionary.org/wiki/abjur%C4%83tor,,abʒurəˈtor,
ablactare,N,FEM,,,,ablactation,,https://ro.wiktionary.org/wiki/ablactare,needs plural confirmation,fr:ablactation,
ablactație,N,FEM,,,,ablactation,,https://ro.wiktionary.org/wiki/ablacta%C8%9Bie,needs plural confirmation,fr:ablactation,
ablativ,N,NEUT,ablative,,,ablative,la,https://ro.wiktionary.org/wiki/ablativ,,ˈablatɪf | ˈablatiːf | ˈɑːblatiːʋ,
ablaut,N,NEUT,,,,,,https://ro.wiktionary.org/wiki/ablaut,needs plural confirmation,ˈab.lawt,
ablație,N,FEM,ablații,,,ablation,la,https://en.wiktionary.org/wiki/abla%C8%9Bie,,,
ablațiune,N,FEM,ablațiuni,,,ablation,,https://ro.wiktionary.org/wiki/abla%C8%9Biune,,fr:ablation | pt:ablação,
ablefarie,N,FEM,ablefarii,,,ablepharia,,https://ro.wiktionary.org/wiki/ablefarie,,fr:ablépharie,
ablegat,N,MASC,ablegați,,,ablegate,,https://ro.wiktionary.org/wiki/ablegat,,aˈblɛ.ɡat | -ɛɡat,
ablepsie,N,FEM,ablepsii,,,blindness,,https://ro.wiktionary.org/wiki/ablepsie,,fr:ablépsie,
abluțiune,N,FEM,abluțiuni,,,ablution,,https://ro.wiktionary.org/wiki/ablu%C8%9Biune,,fr:ablution | pt:ablução | tr:abdest,
abnegare,N,FEM,abnégo,,,abnegation,,https://ro.wiktionary.org/wiki/abnegare,,ab.neˈɡa.re | ab.nɛˈɡaː.rɛ | ab.neˈɡaː.re | abneˈɡaɾe | aβ̞.neˈɣ̞a.ɾe,
abnegație,N,FEM,,,,abnegation,la,https://ro.wiktionary.org/wiki/abnega%C8%9Bie,needs plural confirmation,abneˈɡat͡si.e,
abnegațiune,N,FEM,abnegațiuni,,,,,https://en.wiktionary.org/wiki/abnega%C8%9Biune,,,
abnorm,ADJ,,,,,abnormal,,https://ro.wiktionary.org/wiki/abnorm,,abˈnɔrm,
abnormitate,N,FEM,abnormități,,,abnormality,,https://ro.wiktionary.org/wiki/abnormitate,,,
abolire,N,FEM,aboliri,,,abolition,,https://ro.wiktionary.org/wiki/abolire,,a.boˈli.re,
abolit,ADJ,,,,,"abolished, disestablished",,https://en.wiktionary.org/wiki/abolit,,ə.βuˈlit | ə.buˈlit | a.boˈlit,
aboliție,N,FEM,,,,abolition,,https://en.wiktionary.org/wiki/aboli%C8%9Bie,needs plural confirmation,,
aboliționism,N,NEUT,,,,abolitionism,,https://ro.wiktionary.org/wiki/aboli%C8%9Bionism,needs plural confirmation,,
aboliționist,N,MASC,aboliționiști,,,abolitionist,,https://ro.wiktionary.org/wiki/aboli%C8%9Bionist,,,
aboliționistă,N,FEM,aboliționiste,,,,,https://ro.wiktionary.org/wiki/aboli%C8%9Bionist%C4%83,,a.bo.li.ʦi.oˈnis.tə,
abolițiune,N,FEM,abolițiuni,,,abolition,,https://ro.wiktionary.org/wiki/aboli%C8%9Biune,,fr:abolition | pt:abolição,
abominabil,ADJ,,,,,abominable,la,https://ro.wiktionary.org/wiki/abominabil,,a.bo.miˈna.bil,
abominațiune,N,FEM,abominațiuni,,,abomination,,https://en.wiktionary.org/wiki/abomina%C8%9Biune,,,
abonament,N,NEUT,abonamente,,,subscription,,https://ro.wiktionary.org/wiki/abonament,,ə.βu.nəˈmen | ə.bo.nəˈment | a.bo.naˈment | ˈɒbonɒmɛnt | a.bɔˈna.mɛnt,
abonare,N,FEM,abonări,,,subscription,,https://ro.wiktionary.org/wiki/abonare,,,
abonat,N,MASC,abonați,,,subscriber,,https://ro.wiktionary.org/wiki/abonat,,ə.βuˈnat | ə.boˈnat | a.boˈnat,
abonată,N,FEM,abonate,,,,,https://ro.wiktionary.org/wiki/abonat%C4%83,,a.bo'na.tə,
abordabil,ADJ,,,,,approachable,,https://ro.wiktionary.org/wiki/abordabil,,fr:abordable,
abordaj,N,NEUT,,,,"abordage, boarding",,https://ro.wiktionary.org/wiki/abordaj,needs plural confirmation,aborˈdaʒ,
abordare,N,FEM,abordări,,,approach,,https://ro.wiktionary.org/wiki/abordare,,fr:abordage,
aborigen,N,MASC,aborigeni,,,"aboriginal person, indigenous person, native",,https://ro.wiktionary.org/wiki/aborigen,,æbˈɔɹ.ə.d͡ʒən | aboɾiɡen | -iɡen | ə.βuˈɾi.ʒən | ə.buˈɾi.ʒən | a.boˈɾi.d͡ʒen | aboˈɾixen | a.β̞oˈɾi.xẽn,
aborigenă,N,FEM,aborigene,,,,,https://ro.wiktionary.org/wiki/aborigen%C4%83,,a.bo.riˈʤe.nə,
abortiv,N,NEUT,abortivi,,,abortive,,https://ro.wiktionary.org/wiki/abortiv,,abɔˈʈiːʋ | abɔʁˈtiːʋ | ɑbɔˈʈiːʋ | ɑbɔʁˈtiːʋ,
abracadabrant,ADJ,,,,,"ludicrous, preposterous",,https://ro.wiktionary.org/wiki/abracadabrant,,fr:abracadabrant,
abrazare,N,FEM,abrazări,,,abrasion,fr,https://ro.wiktionary.org/wiki/abrazare,,,
abraziune,N,FEM,abraziuni,,,abrasion,,https://ro.wiktionary.org/wiki/abraziune,,fr:abrasion,
abraziv,ADJ,,,,,abrasive,,https://ro.wiktionary.org/wiki/abraziv,,Luğatçıq,
abrazor,N,NEUT,abrazoare,,,bench grinder,,https://ro.wiktionary.org/wiki/abrazor,,,
abraș,ADJ,,,,,blond,,https://ro.wiktionary.org/wiki/abra%C8%99,,a'braʃ,
abreviare,N,FEM,abrevieri,,,abbreviation,,https://en.wiktionary.org/wiki/abreviare,,,
abreviat,ADJ,,,,,abbreviated,,https://ro.wiktionary.org/wiki/abreviat,,ə.βɾə.βiˈat | ə.bɾə.viˈat | a.bɾe.viˈat,
abreviativ,ADJ,,,,,abbreviative,,https://ro.wiktionary.org/wiki/abreviativ,,fr:abréviatif,
abreviator,N,MASC,abreviatori,,,abbreviator,,https://ro.wiktionary.org/wiki/abreviator,,fr:abréviateur,
abreviație,N,FEM,abreviații,,,abbreviation,fr,https://ro.wiktionary.org/wiki/abrevia%C8%9Bie,,abreviˈat͡si.e,
abreviațiune,N,FEM,abreviațiuni,,,,,https://ro.wiktionary.org/wiki/abrevia%C8%9Biune,,,
abreviere,N,FEM,abrevieri,,,abbreviation,,https://ro.wiktionary.org/wiki/abreviere,,a.bre.viˈe.re,
abrogare,N,FEM,abrogări,,,repeal,,https://ro.wiktionary.org/wiki/abrogare,,a.broˈɡa.re,
abrogat,ADJ,,,,,repealed,,https://ro.wiktionary.org/wiki/abrogat,,aˈbrɔ.ɡat,
abrogație,N,FEM,abrogații,,,repeal,,https://ro.wiktionary.org/wiki/abroga%C8%9Bie,,fr:abrogation | tr:iptal | tr:fesih | tr:kaldırma,
abrudean,N,MASC,abrudeni,,,,,https://ro.wiktionary.org/wiki/abrudean,,,
abrudeancă,N,FEM,abrudence,,,a Transylvanian dance,,https://en.wiktionary.org/wiki/abrudeanc%C4%83,,,
abrupt,ADJ,,,,,"extremely steep, near vertical",la,https://ro.wiktionary.org/wiki/abrupt,,aˈbrupt,
abrutizant,ADJ,,,,,brutalizing,,https://ro.wiktionary.org/wiki/abrutizant,,a.bru.tiˈzant | fr:abrutissant | fr:abrutissante,
abrutizare,N,FEM,abrutizări,,,brutalization,,https://ro.wiktionary.org/wiki/abrutizare,,,
abrutizat,ADJ,,,,,brutified,,https://ro.wiktionary.org/wiki/abrutizat,,a.bru.tiˈzat,
abscisă,N,FEM,abscise,,,abscissa,,https://ro.wiktionary.org/wiki/abscis%C4%83,,ab'sʧi.sə | fr:abscisse | tr:apsis,
abscizie,N,FEM,abscizii,,,abscission,,https://ro.wiktionary.org/wiki/abscizie,,,
absciziune,N,FEM,absciziuni,,,abscission,,https://ro.wiktionary.org/wiki/absciziune,,ab.sʧi.ziˈu.ne | fr:abscission,
abscons,ADJ,,,,,recondite,la,https://ro.wiktionary.org/wiki/abscons,,fr:abscons | fr:obscur | tr:belirsiz,
absent,ADJ,,,,,,la,https://ro.wiktionary.org/wiki/absent,,abˈsent,
absentare,N,FEM,absentări,,,absence,,https://en.wiktionary.org/wiki/absentare,,,
absentat,ADJ,,,,,absence,,https://en.wiktionary.org/wiki/absentat,,,
absenteism,N,NEUT,absenteism,,,absenteeism,,https://ro.wiktionary.org/wiki/absenteism,,fr:absentéisme,
absenteist,N,MASC,absenteiști,,,absentee,,https://ro.wiktionary.org/wiki/absenteist,,fr:absentéiste | fr:absent,
absenteistă,N,FEM,absenteiste,,,,,https://ro.wiktionary.org/wiki/absenteist%C4%83,,ab.sen.teˈis.tə,
absență,N,FEM,absențe,,,absence,la,https://ro.wiktionary.org/wiki/absen%C8%9B%C4%83,,abˈsen.t͡sə,
absidal,ADJ,,,,,,,https://ro.wiktionary.org/wiki/absidal,,ab.siˈdaw | ab.siˈdaʊ̯ | a.bi.siˈdaw | a.bi.siˈdaʊ̯ | ɐ.bsiˈdal | ɐ.βsiˈðaɫ | ɐ.bsiˈda.li | ɐ.βsiˈða.li | absiˈdal | aβ̞.siˈð̞al,
absidial,ADJ,,,,,apsidal,,https://ro.wiktionary.org/wiki/absidial,,absiˈdjal | aβ̞.siˈð̞jal,
absidiolă,N,FEM,absidiole,,,apsidole,,https://ro.wiktionary.org/wiki/absidiol%C4%83,,ab.si.di'o.lə | fr:absidiole,
absidă,N,FEM,abside,,,apse,,https://ro.wiktionary.org/wiki/absid%C4%83,,ab'si.də | fr:abside,
absint,N,NEUT,,,,absinthe,,https://ro.wiktionary.org/wiki/absint,needs plural confirmation,ˈapsɪnt | ɑpˈsɪnt | abˈsɪnt | apˈsɪnt,
absintism,N,NEUT,,,,absinthism,,https://en.wiktionary.org/wiki/absintism,needs plural confirmation,,
absolut,ADJ,,,,,absolute,la,https://ro.wiktionary.org/wiki/absolut,,ab.soˈlut,
absolutism,N,NEUT,,,,,,https://ro.wiktionary.org/wiki/absolutism,needs plural confirmation,ˈæb.sə.luː.tɪz.m̩ | ˈæb.sə.ljuː.tɪz.m̩ | ˈæb.səˌluˌtɪz.m̩ | ˈæb.səˌljuˌtɪz.m̩,
absolutist,N,MASC,absolutiști,,,,,https://ro.wiktionary.org/wiki/absolutist,,ab.so.luˈtist,
absolutistă,N,FEM,absolutiste,,,,,https://ro.wiktionary.org/wiki/absolutist%C4%83,,ab.so.luˈtis.tə,
absolutizare,N,FEM,absolutizări,,,absolutization,,https://ro.wiktionary.org/wiki/absolutizare,,absolutiˈθaɾe | aβ̞.so.lu.t̪iˈθa.ɾe | absolutiˈsaɾe | aβ̞.so.lu.t̪iˈsa.ɾe,
absolutoriu,N,NEUT,absolutorii,,,diploma,la,https://ro.wiktionary.org/wiki/absolutoriu,,ab.so.luˈto.rju,
absoluțiune,N,FEM,absoluțiuni,,,absolution,,https://ro.wiktionary.org/wiki/absolu%C8%9Biune,,fr:absolution | tr:af | tr:aklama,
absolvare,N,FEM,absolvări,,,graduation,,https://en.wiktionary.org/wiki/absolvare,,,
absolvat,ADJ,,,,,graduated,,https://en.wiktionary.org/wiki/absolvat,,,
absolvent,N,MASC,absolvenți,,,graduate,la,https://ro.wiktionary.org/wiki/absolvent,,æbˈzɑlv.n̩t | əbˈzɑlv.n̩t | æbˈsɑlv.n̩t | əbˈsɑlv.n̩t | ˈapsolvɛnt,
absolventă,N,FEM,absolvente,,,,,https://ro.wiktionary.org/wiki/absolvent%C4%83,,ap.sol'ven.tə,
absolvență,N,FEM,absolvențe,,,graduation,,https://ro.wiktionary.org/wiki/absolven%C8%9B%C4%83,,ap.solˈven.ʦə,
absolvire,N,FEM,absolviri,,,graduation,,https://ro.wiktionary.org/wiki/absolvire,,ap.solˈvi.re,
absolvit,N,NEUT,absolvituri,,,graduate,,https://en.wiktionary.org/wiki/absolvit,,,
absorbant,N,NEUT,absorbante,,,absorbent,,https://ro.wiktionary.org/wiki/absorbant,,fr:absorbant,
absorbire,N,FEM,absorbiri,,,absorption,,https://ro.wiktionary.org/wiki/absorbire,,fr:absorption,
absorbit,ADJ,,,,,absorbed,,https://ro.wiktionary.org/wiki/absorbit,,ab.sorˈbit,
absorbitor,N,NEUT,absorbitoare,,,absorber,,https://ro.wiktionary.org/wiki/absorbitor,,fr:absorbant,
absorbție,N,FEM,absorbții,,,absorption,,https://ro.wiktionary.org/wiki/absorb%C8%9Bie,,fr:absorption,
absorbțiometru,N,NEUT,absorbțiometre,,,absorptiometer,,https://en.wiktionary.org/wiki/absorb%C8%9Biometru,,,
absorbțiune,N,FEM,absorbțiuni,,,,,https://ro.wiktionary.org/wiki/absorb%C8%9Biune,,,
abstenționism,N,NEUT,abstenționism,,,abstentionism,,https://ro.wiktionary.org/wiki/absten%C8%9Bionism,,,
abstenționist,N,MASC,abstenționiști,,,abstentionist,,https://ro.wiktionary.org/wiki/absten%C8%9Bionist,,,
abstenționistă,N,FEM,abstenționiste,,,,,https://ro.wiktionary.org/wiki/absten%C8%9Bionist%C4%83,,ab.sten.ʦi.oˈnis.tə,
abstențiune,N,FEM,abstențiuni,,,abstention,,https://ro.wiktionary.org/wiki/absten%C8%9Biune,,,
abstinent,N,MASC,abstinenți,,,,,https://ro.wiktionary.org/wiki/abstinent,,ˈæb.stɪ.nn̩t | ˈæb.stə.nn̩t | əps.tiˈnen | əps.tiˈnent | aps.tiˈnent | ˈapstɪnɛnt | apstiˈnɛnt | apˈsti.nɛnt | abstɪˈnɛnt | apstɪˈnɛnt,
abstinentă,N,FEM,abstinente,,,,,https://ro.wiktionary.org/wiki/abstinent%C4%83,,ab.sti'nen.tə,
abstinență,N,FEM,abstinențe,,,abstinence,,https://ro.wiktionary.org/wiki/abstinen%C8%9B%C4%83,,ab.sti'nen.ʦə | fr:abstinence,
abstract,ADJ,,,,,,de,https://ro.wiktionary.org/wiki/abstract,,abˈstrakt,
abstractizant,ADJ,,,,,abstracting,,https://en.wiktionary.org/wiki/abstractizant,,,
abstractizare,N,FEM,abstractizări,,,abstraction,,https://ro.wiktionary.org/wiki/abstractizare,,,
abstracție,N,FEM,abstracții,,,abstraction,,https://ro.wiktionary.org/wiki/abstrac%C8%9Bie,,,
abstracționism,N,NEUT,abstracționism,,,abstractionism,,https://ro.wiktionary.org/wiki/abstrac%C8%9Bionism,,,
abstracționist,N,MASC,abstracționiști,,,abstractionist,,https://ro.wiktionary.org/wiki/abstrac%C8%9Bionist,,,
abstracționistă,N,FEM,abstracționiste,,,,,https://ro.wiktionary.org/wiki/abstrac%C8%9Bionist%C4%83,,ab.strak.ʦi.oˈnis.tə,
abstracțiune,N,FEM,abstracțiuni,,,,,https://ro.wiktionary.org/wiki/abstrac%C8%9Biune,,,
abstragere,N,FEM,abstrageri,,,abstraction,,https://ro.wiktionary.org/wiki/abstragere,,,
abstras,ADJ,,,,,abstracted,,https://en.wiktionary.org/wiki/abstras,,,
abstrus,ADJ,,,,,abstruse,,https://ro.wiktionary.org/wiki/abstrus,,apˈstʁuːs,
absurd,ADJ,,,,,,la,https://ro.wiktionary.org/wiki/absurd,,abˈsurd,
absurditate,N,FEM,absurdități,,,absurdity,,https://ro.wiktionary.org/wiki/absurditate,,fr:absurdité,
abulic,N,MASC,abulici,,,aboulic person,,https://ro.wiktionary.org/wiki/abulic,,ˌeɪˈbju.lɪk | ˌeɪˈbu.lɪk,
abulică,N,FEM,abulice,,,,,https://ro.wiktionary.org/wiki/abulic%C4%83,,aˈbu.li.kə,
abulie,N,FEM,abulii,,,aboulia,,https://ro.wiktionary.org/wiki/abulie,,ˈabulɪjɛ,
